"","index","Job.Title","Salary.Estimate","Rating","Company.Name","Location","Headquarters","Size","Founded","Type.of.ownership","Industry","Sector","Revenue","Competitors","City","State","Salary","MinSalary","MaxSalary","AvgSalary","MinRevenue","MaxRevenue","AvgRevenue","MinEmployeeCount","MaxEmployeeCount","AvgEmployeeCount","Python","SAS","MATLAB","R","Java","SQL"
"177","176","Data Engineer","$101K-$165K (Glassdoor est.)",4.4,"Resurgent Capital Services
4.4","Cincinnati, OH","Greenville, SC","201 to 500 ","1998","Company - Private","Venture Capital & Private Equity","Finance","50 to 100 million ","Not Provided","Cincinnati","OH","101000-165000",101000,165000,133000,50000000,100000000,75000000,201,500,351,1,0,0,0,0,1
"178","177","Data Scientist - Statistics, Early Career","$56K-$97K (Glassdoor est.)",3.7,"PNNL
3.7","Richland, WA","Richland, WA","1001 to 5000 ","1965","Government","Energy","Oil, Gas, Energy & Utilities","500 million to 1 billion ","Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory","Richland","WA","56000-97000",56000,97000,76500,500000000000000000,1000000000,250000000500000000,1001,5000,3001,0,0,0,0,0,0
"179","178","Data Scientist","$56K-$97K (Glassdoor est.)",3.5,"Buckman
3.5","Memphis, TN","Memphis, TN","1001 to 5000 ","1945","Company - Private","Chemical Manufacturing","Manufacturing","500 million to 1 billion ","Not Provided","Memphis","TN","56000-97000",56000,97000,76500,500000000000000000,1000000000,250000000500000000,1001,5000,3001,1,0,1,0,1,1
"180","179","Machine Learning Engineer","$56K-$97K (Glassdoor est.)",3.6,"Buckman
3.5","Memphis, TN","Arlington, VA","501 to 1000 ","1967","Nonprofit Organization","Federal Agencies","Government","50 to 100 million ","Not Provided","Memphis","TN","56000-97000",56000,97000,76500,50000000,100000000,75000000,501,1000,751,1,0,0,0,0,0
"181","180","Research Scientist - Patient-Centered Research (Remote)","$56K-$97K (Glassdoor est.)",3.8,"Evidera
3.8","Bethesda, MD","Bethesda, MD","501 to 1000 ","2013","Subsidiary or Business Segment","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","100 to 500 million ","IQVIA, ICON","Bethesda","MD","56000-97000",56000,97000,76500,100000000,500000000,300000000,501,1000,751,0,1,0,0,0,0
"182","181","Jr. Business Data Analyst (position added 6/12/2020)","$56K-$97K (Glassdoor est.)",4.7,"webfx.com
4.7","Harrisburg, PA","Harrisburg, PA","201 to 500 ","1997","Company - Private","Advertising & Marketing","Business Services","25 to 50 million ","Not Provided","Harrisburg","PA","56000-97000",56000,97000,76500,25000000,50000000,37500000,201,500,351,0,0,0,0,0,0
"183","182","Sr. Data Scientist II","$56K-$97K (Glassdoor est.)",3.5,"Argo Group US
3.5","New York, NY","Hamilton, Bermuda","1001 to 5000 ","1948","Company - Public","Insurance Carriers","Insurance","1 to 2 billion ","Not Provided","New York","NY","56000-97000",56000,97000,76500,1000000000,2000000000,1500000000,1001,5000,3001,1,0,0,0,0,1
"184","183","Data Scientist","$56K-$97K (Glassdoor est.)",3.3,"BWX Technologies
3.3","Oak Ridge, TN","Lynchburg, VA","5001 to 10000 ","1850","Company - Public","Aerospace & Defense","Aerospace & Defense","500 million to 1 billion ","Not Provided","Oak Ridge","TN","56000-97000",56000,97000,76500,500000000000000000,1000000000,250000000500000000,5001,10000,7501,1,0,0,1,0,0
"185","184","Senior Data Analyst","$56K-$97K (Glassdoor est.)",3.9,"Life360
3.9","San Francisco, CA","San Francisco, CA","51 to 200 ","2008","Company - Public","Internet","Information Technology","Not Provided","Not Provided","San Francisco","CA","56000-97000",56000,97000,76500,100000000,500000000,300000000,51,200,126,1,0,0,0,0,1
"186","185","Lead Data Scientist","$56K-$97K (Glassdoor est.)",3.7,"MassMutual
3.7","Boston, MA","Springfield, MA","5001 to 10000 ","1851","Company - Private","Insurance Carriers","Insurance","10 billion ","Not Provided","Boston","MA","56000-97000",56000,97000,76500,10000000000,500000000,10000000000,5001,10000,7501,1,0,0,1,1,1
"187","186","Production Engineer - Statistics/Data Analysis","$56K-$97K (Glassdoor est.)",3.9,"Natera
3.9","San Carlos, CA","San Carlos, CA","501 to 1000 ","2004","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","100 to 500 million ","Genomic Health, 23andMe, Illumina","San Carlos","CA","56000-97000",56000,97000,76500,100000000,500000000,300000000,501,1000,751,1,0,0,1,0,0
"188","187","Statistical Scientist","$56K-$97K (Glassdoor est.)",4,"Genentech
4.0","South San Francisco, CA","South San Francisco, CA","10000 ","1976","Subsidiary or Business Segment","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","10 billion ","Not Provided","South San Francisco","CA","56000-97000",56000,97000,76500,10000000000,500000000,10000000000,10000,500,10000,1,1,0,0,0,0
"189","188","Computational Behavioral Scientist","$56K-$97K (Glassdoor est.)",4.2,"Ntrepid
4.2","Herndon, VA","Herndon, VA","201 to 500 ","2010","Company - Private","IT Services","Information Technology","50 to 100 million ","Bromium, FireEye, Authentic8","Herndon","VA","56000-97000",56000,97000,76500,50000000,100000000,75000000,201,500,351,1,0,1,0,1,1
"190","189","Principal Data Scientist - Machine Learning","$56K-$97K (Glassdoor est.)",3.6,"Constant Contact
3.6","Waltham, MA","Waltham, MA","Unknown","1995","Subsidiary or Business Segment","Advertising & Marketing","Business Services","Not Provided","Drip, iContact, Mailchimp","Waltham","MA","56000-97000",56000,97000,76500,100000000,500000000,300000000,501,500,751,1,0,0,0,0,0
"191","190","Principal Machine Learning Scientist","$56K-$97K (Glassdoor est.)",4.7,"Sage Intacct
4.7","San Francisco, CA","San Jose, CA","501 to 1000 ","1999","Subsidiary or Business Segment","Computer Hardware & Software","Information Technology","Not Provided","Not Provided","San Francisco","CA","56000-97000",56000,97000,76500,100000000,500000000,300000000,501,1000,751,1,0,0,0,0,1
"192","191","Data Engineer","$56K-$97K (Glassdoor est.)",4.1,"Shape Security
4.1","Santa Clara, CA","Mountain View, CA","51 to 200 ","2011","Company - Private","IT Services","Information Technology","Not Provided","Not Provided","Santa Clara","CA","56000-97000",56000,97000,76500,100000000,500000000,300000000,51,200,126,1,0,0,0,1,0
"193","192","Principal Data Scientist","$56K-$97K (Glassdoor est.)",4,"AstraZeneca
4.0","Gaithersburg, MD","Cambridge, United Kingdom","10000 ","1913","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","10 billion ","Roche, GlaxoSmithKline, Novartis","Gaithersburg","MD","56000-97000",56000,97000,76500,10000000000,500000000,10000000000,10000,500,10000,0,0,0,1,0,0
"194","193","Data Scientist","$56K-$97K (Glassdoor est.)",5,"SkillSoniq
5.0","San Francisco, CA","Jersey City, NJ","Unknown","Not Provided","Company - Public","Not Provided","Not Provided","Not Provided","Not Provided","San Francisco","CA","56000-97000",56000,97000,76500,100000000,500000000,300000000,501,500,751,1,0,0,0,0,1
"195","194","Senior Data Scientist - R&D Oncology","$56K-$97K (Glassdoor est.)",4,"AstraZeneca
4.0","New York, NY","Cambridge, United Kingdom","10000 ","1913","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","10 billion ","Roche, GlaxoSmithKline, Novartis","New York","NY","56000-97000",56000,97000,76500,10000000000,500000000,10000000000,10000,500,10000,0,0,0,1,0,0
"196","195","Data Scientist","$56K-$97K (Glassdoor est.)",4.3,"Joby Aviation
4.3","San Carlos, CA","Santa Cruz, CA","51 to 200 ","Not Provided","Company - Private","Not Provided","Not Provided","Not Provided","Not Provided","San Carlos","CA","56000-97000",56000,97000,76500,100000000,500000000,300000000,51,200,126,0,0,0,0,0,1
"197","196","Health Plan Data Analyst, Sr","$56K-$97K (Glassdoor est.)",3.8,"Cook Children's Health Care System
3.8","Fort Worth, TX","Fort Worth, TX","5001 to 10000 ","1918","Nonprofit Organization","Health Care Services & Hospitals","Health Care","100 to 500 million ","Children's Health, Texas Health Resources, Baylor Scott & White Health","Fort Worth","TX","56000-97000",56000,97000,76500,100000000,500000000,300000000,5001,10000,7501,0,0,0,0,0,0
"198","197","Principal Scientist/Associate Director, Quality Control and Analytical Technologies","$56K-$97K (Glassdoor est.)",3.8,"Rubius Therapeutics
3.8","Smithfield, RI","Cambridge, MA","201 to 500 ","2013","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","100 to 500 million ","Not Provided","Smithfield","RI","56000-97000",56000,97000,76500,100000000,500000000,300000000,201,500,351,0,0,0,0,0,0
"199","198","Analytics - Business Assurance Data Analyst","$56K-$97K (Glassdoor est.)",4.6,"GreatAmerica Financial Services
4.6","Cedar Rapids, IA","Cedar Rapids, IA","501 to 1000 ","1992","Company - Private","Lending","Finance","100 to 500 million ","Not Provided","Cedar Rapids","IA","56000-97000",56000,97000,76500,100000000,500000000,300000000,501,1000,751,0,0,0,0,0,1
"200","199","Data Scientist - Contract","$79K-$106K (Glassdoor est.)",4.1,"Upside Business Travel
4.1","Remote","Washington, DC","51 to 200 ","2015","Company - Private","Internet","Information Technology","Not Provided","Not Provided","Remote","Not Provided","79000-106000",79000,106000,92500,100000000,500000000,300000000,51,200,126,0,0,0,0,0,0
"201","200","Data Scientist","$79K-$106K (Glassdoor est.)",3.4,"Spectrum Communications and Consulting
3.4","Chicago, IL","Chicago, IL","51 to 200 ","1992","Company - Private","Advertising & Marketing","Business Services","10 to 25 million ","Not Provided","Chicago","IL","79000-106000",79000,106000,92500,10000000,25000000,17500000,51,200,126,0,1,0,1,0,1
"202","201","Data Scientist","$79K-$106K (Glassdoor est.)",4.1,"Coverent
4.1","McLean, VA","McLean, VA","51 to 200 ","2008","Company - Private","Consulting","Business Services","10 to 25 million ","Not Provided","McLean","VA","79000-106000",79000,106000,92500,10000000,25000000,17500000,51,200,126,1,0,0,0,0,0
"203","202","Machine Learning Engineer","$79K-$106K (Glassdoor est.)",3.7,"Mteq
3.7","Fort Belvoir, VA","Lorton, VA","501 to 1000 ","1954","Company - Public","Aerospace & Defense","Aerospace & Defense","100 to 500 million ","Harris, Fibertek","Fort Belvoir","VA","79000-106000",79000,106000,92500,100000000,500000000,300000000,501,1000,751,1,0,0,0,0,0
"204","203","Data Engineer","$79K-$106K (Glassdoor est.)",4.4,"Rocket Lawyer
4.4","San Francisco, CA","San Francisco, CA","51 to 200 ","2008","Company - Private","Computer Hardware & Software","Information Technology","50 to 100 million ","Not Provided","San Francisco","CA","79000-106000",79000,106000,92500,50000000,100000000,75000000,51,200,126,1,0,0,0,1,1
"205","204","Senior Data Scientist – Image Analytics, Novartis AI Innovation Lab","$79K-$106K (Glassdoor est.)",3.9,"Novartis
3.9","Cambridge, MA","Basel, Switzerland","10000 ","1996","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","10 billion ","Not Provided","Cambridge","MA","79000-106000",79000,106000,92500,10000000000,500000000,10000000000,10000,500,10000,0,0,0,0,0,0
"206","205","Data Engineer","$79K-$106K (Glassdoor est.)",3.6,"Alion Science & Technology
3.6","Linthicum Heights, MD","Mc Lean, VA","1001 to 5000 ","2001","Company - Private","Research & Development","Business Services","1 to 2 billion ","Not Provided","Linthicum Heights","MD","79000-106000",79000,106000,92500,1000000000,2000000000,1500000000,1001,5000,3001,1,0,0,0,1,1
"207","206","Data Science Instructor","$79K-$106K (Glassdoor est.)",4.5,"Novetta
4.5","Herndon, VA","Mc Lean, VA","501 to 1000 ","2012","Company - Private","Enterprise Software & Network Solutions","Information Technology","100 to 500 million ","Leidos, CACI International, Booz Allen Hamilton","Herndon","VA","79000-106000",79000,106000,92500,100000000,500000000,300000000,501,1000,751,0,0,0,0,0,0
"208","207","Senior Business Intelligence Analyst","$79K-$106K (Glassdoor est.)",3.7,"Protolabs
3.7","Maple Plain, MN","Maple Plain, MN","1001 to 5000 ","1999","Company - Public","Miscellaneous Manufacturing","Manufacturing","100 to 500 million ","Not Provided","Maple Plain","MN","79000-106000",79000,106000,92500,100000000,500000000,300000000,1001,5000,3001,0,0,0,0,0,0
"209","208","In-Line Inspection Data Analyst","$79K-$106K (Glassdoor est.)",2.9,"Quest Integrity
2.9","Tulsa, OK","Kent, WA","201 to 500 ","1996","Company - Public","Oil & Gas Services","Oil, Gas, Energy & Utilities","50 to 100 million ","Not Provided","Tulsa","OK","79000-106000",79000,106000,92500,50000000,100000000,75000000,201,500,351,0,0,0,0,0,0
"210","209","Data Scientist - TS/SCI FSP or CI Required","$79K-$106K (Glassdoor est.)",5,"Phoenix Operations Group
5.0","Annapolis Junction, MD","Woodbine, MD","1 to 50 ","2011","Company - Private","IT Services","Information Technology","1 to 5 million ","Not Provided","Annapolis Junction","MD","79000-106000",79000,106000,92500,1000000,5000000,3000000,1,50,26,1,0,0,0,0,0
"211","210","Data Scientist","$79K-$106K (Glassdoor est.)",3.4,"Dice.com
3.4","Newton, MA","Denver, CO","201 to 500 ","1990","Subsidiary or Business Segment","Staffing & Outsourcing","Business Services","100 to 500 million ","Monster Worldwide, CareerBuilder, Craigslist","Newton","MA","79000-106000",79000,106000,92500,100000000,500000000,300000000,201,500,351,0,0,0,0,0,0
"212","211","Senior Data Scientist","$79K-$106K (Glassdoor est.)",3.5,"Maxar Technologies
3.5","Herndon, VA","Westminster, CO","5001 to 10000 ","Not Provided","Company - Public","Aerospace & Defense","Aerospace & Defense","2 to 5 billion ","Not Provided","Herndon","VA","79000-106000",79000,106000,92500,2000000000,5000000000,3500000000,5001,10000,7501,1,0,0,0,1,1
"213","212","Data Scientist - TS/SCI Required","$79K-$106K (Glassdoor est.)",5,"Phoenix Operations Group
5.0","Baltimore, MD","Woodbine, MD","1 to 50 ","2011","Company - Private","IT Services","Information Technology","1 to 5 million ","Not Provided","Baltimore","MD","79000-106000",79000,106000,92500,1000000,5000000,3000000,1,50,26,1,0,0,0,0,0
"214","213","Data Science Software Engineer","$79K-$106K (Glassdoor est.)",4.8,"Klaviyo
4.8","Boston, MA","Boston, MA","201 to 500 ","2012","Company - Private","Computer Hardware & Software","Information Technology","Not Provided","Not Provided","Boston","MA","79000-106000",79000,106000,92500,100000000,500000000,300000000,201,500,351,1,0,0,0,1,0
"215","214","ENGINEER - COMPUTER SCIENTIST - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING - SAN ANTONIO OR","$79K-$106K (Glassdoor est.)",3.9,"Southwest Research Institute
3.9","Oklahoma City, OK","San Antonio, TX","1001 to 5000 ","1947","Nonprofit Organization","Research & Development","Business Services","500 million to 1 billion ","Los Alamos National Laboratory, Battelle, SRI International","Oklahoma City","OK","79000-106000",79000,106000,92500,500000000000000000,1000000000,250000000500000000,1001,5000,3001,1,0,0,0,1,0
"216","215","AI Ops Data Scientist","$79K-$106K (Glassdoor est.)",4,"AstraZeneca
4.0","Gaithersburg, MD","Cambridge, United Kingdom","10000 ","1913","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","10 billion ","Roche, GlaxoSmithKline, Novartis","Gaithersburg","MD","79000-106000",79000,106000,92500,10000000000,500000000,10000000000,10000,500,10000,1,1,0,0,0,1
"217","216","Intelligence Data Analyst, Senior","$79K-$106K (Glassdoor est.)",4.3,"The Buffalo Group
4.3","Fort Belvoir, VA","Reston, VA","501 to 1000 ","2010","Company - Private","IT Services","Information Technology","100 to 500 million ","ManTech, Booz Allen Hamilton, Leidos","Fort Belvoir","VA","79000-106000",79000,106000,92500,100000000,500000000,300000000,501,1000,751,1,0,0,0,0,0
"218","217","Analytics Manager - Data Mart","$79K-$106K (Glassdoor est.)",3.5,"Central California Alliance for Health
3.5","Scotts Valley, CA","Scotts Valley, CA","501 to 1000 ","1996","Nonprofit Organization","Health Care Services & Hospitals","Health Care","500 million to 1 billion ","Not Provided","Scotts Valley","CA","79000-106000",79000,106000,92500,500000000000000000,1000000000,250000000500000000,501,1000,751,0,0,0,0,0,1
"219","218","Data Modeler (Analytical Systems)","$79K-$106K (Glassdoor est.)",3.7,"MassMutual
3.7","Boston, MA","Springfield, MA","5001 to 10000 ","1851","Company - Private","Insurance Carriers","Insurance","10 billion ","Not Provided","Boston","MA","79000-106000",79000,106000,92500,10000000000,500000000,10000000000,5001,10000,7501,0,0,0,0,0,1
"220","219","Senior Machine Learning Scientist - Bay Area, CA","$79K-$106K (Glassdoor est.)",3.3,"Tempus Labs
3.3","Redwood City, CA","Chicago, IL","501 to 1000 ","2015","Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Not Provided","Not Provided","Redwood City","CA","79000-106000",79000,106000,92500,100000000,500000000,300000000,501,1000,751,1,0,0,0,1,1
"221","220","Report Writer-Data Analyst","$79K-$106K (Glassdoor est.)",3.1,"Security Finance Corporation of Spartanburg
3.1","Spartanburg, SC","Spartanburg, SC","1001 to 5000 ","1955","Company - Private","Lending","Finance","Not Provided","Not Provided","Spartanburg","SC","79000-106000",79000,106000,92500,100000000,500000000,300000000,1001,5000,3001,0,0,0,0,0,1
"222","221","Data Scientist/Machine Learning","$71K-$123K (Glassdoor est.)",4.3,"PulsePoint
4.3","New York, NY","New York, NY","51 to 200 ","2011","Company - Private","Internet","Information Technology","100 to 500 million ","Crossix Solutions Inc., AppNexus, The Trade Desk","New York","NY","71000-123000",71000,123000,97000,100000000,500000000,300000000,51,200,126,1,0,0,0,0,0
"223","222","Data Scientist - Risk","$71K-$123K (Glassdoor est.)",4.2,"LSQ
4.2","Orlando, FL","Orlando, FL","51 to 200 ","1996","Company - Private","Investment Banking & Asset Management","Finance","100 to 500 million ","Not Provided","Orlando","FL","71000-123000",71000,123000,97000,100000000,500000000,300000000,51,200,126,1,1,0,0,0,0
"224","223","Data Engineer","$71K-$123K (Glassdoor est.)",4.4,"Resurgent Capital Services
4.4","Cincinnati, OH","Greenville, SC","201 to 500 ","1998","Company - Private","Venture Capital & Private Equity","Finance","50 to 100 million ","Not Provided","Cincinnati","OH","71000-123000",71000,123000,97000,50000000,100000000,75000000,201,500,351,1,0,0,0,0,1
"225","224","Staff Data Scientist - Pricing","$71K-$123K (Glassdoor est.)",3.6,"Opendoor
3.6","San Francisco, CA","San Francisco, CA","501 to 1000 ","2014","Company - Private","Real Estate","Real Estate","2 to 5 billion ","Not Provided","San Francisco","CA","71000-123000",71000,123000,97000,2000000000,5000000000,3500000000,501,1000,751,0,0,0,0,0,0
"226","225","Data Scientist","$71K-$123K (Glassdoor est.)",4.5,"Global Data Management Inc
4.5","Hartford, CT","Woodbridge, NJ","51 to 200 ","2008","Company - Private","IT Services","Information Technology","5 to 10 million ","Not Provided","Hartford","CT","71000-123000",71000,123000,97000,5000000,10000000,7500000,51,200,126,1,0,0,0,0,1
"227","226","Data Scientist","$71K-$123K (Glassdoor est.)",3,"Photon Infotech
3.0","Chicago, IL","Chennai, India","1001 to 5000 ","1999","Company - Private","IT Services","Information Technology","100 to 500 million ","Not Provided","Chicago","IL","71000-123000",71000,123000,97000,100000000,500000000,300000000,1001,5000,3001,1,0,0,0,0,1
"228","227","Data Scientist","$71K-$123K (Glassdoor est.)",5,"REE
5.0","United States","Tel Aviv-Yafo, Israel","51 to 200 ","2018","Company - Private","Transportation Equipment Manufacturing","Manufacturing","Not Provided","Not Provided","United States","Not Provided","71000-123000",71000,123000,97000,100000000,500000000,300000000,51,200,126,1,0,1,0,0,0
"229","228","Machine Learning Engineer","$71K-$123K (Glassdoor est.)",3.6,"Riverside Research Institute
3.6","Beavercreek, OH","Arlington, VA","501 to 1000 ","1967","Nonprofit Organization","Federal Agencies","Government","50 to 100 million ","Not Provided","Beavercreek","OH","71000-123000",71000,123000,97000,50000000,100000000,75000000,501,1000,751,1,0,0,0,0,0
"230","229","Equity Data Insights Analyst - Quantitative Analyst","$71K-$123K (Glassdoor est.)",3.6,"T. Rowe Price
3.6","Baltimore, MD","Baltimore, MD","5001 to 10000 ","1937","Company - Public","Investment Banking & Asset Management","Finance","2 to 5 billion ","Not Provided","Baltimore","MD","71000-123000",71000,123000,97000,2000000000,5000000000,3500000000,5001,10000,7501,1,0,0,0,0,0
"231","230","Data Scientist","$71K-$123K (Glassdoor est.)",3.8,"Encode, Inc.","Norfolk, VA","Manalapan, NJ","1 to 50 ","Not Provided","Company - Private","IT Services","Information Technology","5 to 10 million ","Not Provided","Norfolk","VA","71000-123000",71000,123000,97000,5000000,10000000,7500000,1,50,26,0,0,0,0,0,0
"232","231","Research Scientist - Patient-Centered Research (Remote)","$71K-$123K (Glassdoor est.)",3.8,"Evidera
3.8","Bethesda, MD","Bethesda, MD","501 to 1000 ","2013","Subsidiary or Business Segment","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","100 to 500 million ","IQVIA, ICON","Bethesda","MD","71000-123000",71000,123000,97000,100000000,500000000,300000000,501,1000,751,0,1,0,0,0,0
"233","232","Data Scientist","$71K-$123K (Glassdoor est.)",3.3,"BWX Technologies
3.3","Oak Ridge, TN","Lynchburg, VA","5001 to 10000 ","1850","Company - Public","Aerospace & Defense","Aerospace & Defense","500 million to 1 billion ","Not Provided","Oak Ridge","TN","71000-123000",71000,123000,97000,500000000000000000,1000000000,250000000500000000,5001,10000,7501,1,0,0,1,0,0
"234","233","Operations Data Analyst","$71K-$123K (Glassdoor est.)",3.8,"Brighthouse Financial
3.8","Charlotte, NC","Charlotte, NC","1001 to 5000 ","2017","Company - Public","Insurance Carriers","Insurance","Not Provided","Not Provided","Charlotte","NC","71000-123000",71000,123000,97000,100000000,500000000,300000000,1001,5000,3001,0,0,0,0,0,0
"235","234","Sr. Data Scientist II","$71K-$123K (Glassdoor est.)",3.5,"Argo Group US
3.5","New York, NY","Hamilton, Bermuda","1001 to 5000 ","1948","Company - Public","Insurance Carriers","Insurance","1 to 2 billion ","Not Provided","New York","NY","71000-123000",71000,123000,97000,1000000000,2000000000,1500000000,1001,5000,3001,1,0,0,0,0,1
"236","235","Data Scientist","$71K-$123K (Glassdoor est.)",3.3,"II-VI Incorporated
3.3","Champaign, IL","Saxonburg, PA","10000 ","1971","Company - Public","Telecommunications Manufacturing","Telecommunications","1 to 2 billion ","Lumentum Operations, Keysight Technologies, O-Net Technologies","Champaign","IL","71000-123000",71000,123000,97000,1000000000,2000000000,1500000000,10000,500,10000,0,1,0,0,0,1
"237","236","Data Scientist","$71K-$123K (Glassdoor est.)",4.6,"Surya Systems
4.6","San Francisco, CA","Bristol, PA","1 to 50 ","Not Provided","Company - Private","Computer Hardware & Software","Information Technology","Less than 1 million ","Not Provided","San Francisco","CA","71000-123000",71000,123000,97000,100000000,500000000,300000000,1,50,26,1,0,0,1,0,1
"238","237","Data Scientist","$71K-$123K (Glassdoor est.)",3.8,"PayPal
3.8","Texas","San Jose, CA","10000 ","1998","Company - Public","Internet","Information Technology","10 billion ","Square, Amazon, Apple","Texas","Not Provided","71000-123000",71000,123000,97000,10000000000,500000000,10000000000,10000,500,10000,1,0,0,0,1,0
"239","238","Senior Data Analyst","$71K-$123K (Glassdoor est.)",3.9,"Life360
3.9","San Francisco, CA","San Francisco, CA","51 to 200 ","2008","Company - Public","Internet","Information Technology","Not Provided","Not Provided","San Francisco","CA","71000-123000",71000,123000,97000,100000000,500000000,300000000,51,200,126,1,0,0,0,0,1
"240","239","Data Scientist","$71K-$123K (Glassdoor est.)",3.9,"Predictive Research Inc
3.9","Plano, TX","Bangalore, India","1 to 50 ","Not Provided","Company - Private","Consulting","Business Services","Not Provided","Not Provided","Plano","TX","71000-123000",71000,123000,97000,100000000,500000000,300000000,1,50,26,1,0,0,0,0,0
"241","240","Data Scientist","$90K-$124K (Glassdoor est.)",4.7,"Oversight Systems
4.7","Atlanta, GA","Atlanta, GA","51 to 200 ","2003","Company - Private","Computer Hardware & Software","Information Technology","25 to 50 million ","Not Provided","Atlanta","GA","90000-124000",90000,124000,107000,25000000,50000000,37500000,51,200,126,0,0,0,0,0,1
"242","241","Senior Research Statistician- Data Scientist","$90K-$124K (Glassdoor est.)",4.8,"Acuity Insurance
4.8","Sheboygan, WI","Sheboygan, WI","1001 to 5000 ","1925","Company - Private","Insurance Carriers","Insurance","1 to 2 billion ","Not Provided","Sheboygan","WI","90000-124000",90000,124000,107000,1000000000,2000000000,1500000000,1001,5000,3001,0,1,0,0,0,0
"243","242","Software Data Engineer","$90K-$124K (Glassdoor est.)",3.1,"1010data
3.1","New York, NY","New York, NY","201 to 500 ","2000","Company - Private","Computer Hardware & Software","Information Technology","50 to 100 million ","Not Provided","New York","NY","90000-124000",90000,124000,107000,50000000,100000000,75000000,201,500,351,1,0,0,0,0,1
"244","243","Data Scientist","$90K-$124K (Glassdoor est.)",3.6,"Gigya
3.6","Palo Alto, CA","Mountain View, CA","201 to 500 ","2006","Company - Private","Enterprise Software & Network Solutions","Information Technology","10 to 25 million ","Not Provided","Palo Alto","CA","90000-124000",90000,124000,107000,10000000,25000000,17500000,201,500,351,0,0,0,0,0,0
"245","244","Real World Evidence (RWE) Scientist","$90K-$124K (Glassdoor est.)",5,"Genesis Research
5.0","Hoboken, NJ","Hoboken, NJ","1 to 50 ","2009","Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Not Provided","Not Provided","Hoboken","NJ","90000-124000",90000,124000,107000,100000000,500000000,300000000,1,50,26,1,0,0,0,0,1
"246","245","Data Scientist","$90K-$124K (Glassdoor est.)",3.7,"Sanofi
3.7","Cambridge, MA","Paris, France","10000 ","1973","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","10 billion ","Pfizer, GlaxoSmithKline","Cambridge","MA","90000-124000",90000,124000,107000,10000000000,500000000,10000000000,10000,500,10000,0,0,0,0,0,1
"247","246","Data Scientist","$90K-$124K (Glassdoor est.)",3.7,"XPO Logistics
3.7","Lebanon, IN","Greenwich, CT","10000 ","2011","Company - Public","Transportation Management","Transportation & Logistics","10 billion ","DHL Supply Chain, UPS, FedEx","Lebanon","IN","90000-124000",90000,124000,107000,10000000000,500000000,10000000000,10000,500,10000,1,0,0,1,0,1
"248","247","Data Scientist","$90K-$124K (Glassdoor est.)",3.9,"Trace Data
3.9","Oakland, CA","Santa Ana, CA","51 to 200 ","2000","Company - Private","Insurance Carriers","Insurance","10 to 25 million ","Not Provided","Oakland","CA","90000-124000",90000,124000,107000,10000000,25000000,17500000,51,200,126,1,1,0,0,0,1
"249","248","Data Scientist","$90K-$124K (Glassdoor est.)",4.3,"Descript
4.3","San Francisco, CA","Houston, TX","1 to 50 ","Not Provided","Company - Private","Not Provided","Not Provided","Less than 1 million ","Not Provided","San Francisco","CA","90000-124000",90000,124000,107000,100000000,500000000,300000000,1,50,26,1,0,0,0,0,0
"250","249","Computer Scientist 1","$90K-$124K (Glassdoor est.)",4.2,"Rincon Research Corporation
4.2","Melbourne, FL","Tucson, AZ","201 to 500 ","1983","Company - Private","Aerospace & Defense","Aerospace & Defense","50 to 100 million ","Raytheon Technologies, General Dynamics, MIT Lincoln Laboratory","Melbourne","FL","90000-124000",90000,124000,107000,50000000,100000000,75000000,201,500,351,1,0,1,0,1,0
"251","250","Lead Data Scientist","$90K-$124K (Glassdoor est.)",3.7,"MassMutual
3.7","Boston, MA","Springfield, MA","5001 to 10000 ","1851","Company - Private","Insurance Carriers","Insurance","10 billion ","Not Provided","Boston","MA","90000-124000",90000,124000,107000,10000000000,500000000,10000000000,5001,10000,7501,1,0,0,1,1,1
"252","251","Data Scientist","$90K-$124K (Glassdoor est.)",4,"Better Hire
4.0","Birmingham, AL","Birmingham, AL","1 to 50 ","Not Provided","Company - Private","Not Provided","Not Provided","Not Provided","Not Provided","Birmingham","AL","90000-124000",90000,124000,107000,100000000,500000000,300000000,1,50,26,0,0,0,0,0,1
